title,yearOn,yearOff,category,scale
Claude Debussy,1862,1918,person,year
Manet - Fruestueck im Gruenen,1863,1865,art,year
periodic table,1864,,invention,year
Richard Strauss,1864,1949,person,year
Baby(fertig)-nahrung,1865,,invention,year
Deutscher Krieg,1866,1868,event,year
Norddeutscher Bund,1867,1871,event,year
dynamite,1867,,invention,year
margarine,1869,,invention,year
Gandhi,1869,1948,person,year
Siegfried Wagner,1869,1930,person,year
Deutsch-Franzoesischer Krieg,1870,1871,event,year
Gruenderzeit,1870,1890,event,year
button,1870,,invention,year
Lenin,1870,1924,person,year
Kaiserreich,1871,1919,epoch,year
Degas - Tanzklasse,1872,1874,art,year
chewing gum,1872,,invention,year
(Blue)-Jeans,1872,,invention,year
typewriter,1873,,invention,year
Sergei Rachmaninov,1873,1943,person,year
barbwire,1874,,invention,year
Arnold Schoönberg,1874,1951,person,year
Degas - Taenzerinnen in Rosa,1876,1878,art,year
phonograph,1876,,invention,year
Adenauer,1876,1967,person,year
statue of liberty,1877,1886,art,year
microphone,1878,,invention,year
electric tram ,1879,,invention,year
direct current,1879,,invention,year
light bulb,1879,,invention,year
Einstein,1879,1955,person,year
Rodin - Denker,1880,1882,art,year
Naturalismus,1880,1900,epoch,year
Cezanne - Muehle am Couleuvre,1881,1883,art,year
Renoir - Zwei Schwestern,1881,1883,art,year
Bouguoreau - Morgenroete,1881,1883,art,year
Wechselstrom (AC),1881,,invention,year
Sarada Familia,1882,1900,art,year
Igor Strawinsky,1882,1971,person,year
Renoir - Tanz am Bougival,1883,1885,art,year
Benzinmotor,1883,,invention,year
Seurat - Sonntagnachittag,1884,1886,art,year
stylograph,1884,,invention,year
car,1885,,invention,year
Coca Cola,1886,,invention,year
Van Gogh - Sternennacht,1887,1889,art,year
Eifelturm,1887,1889,art,year
Esperanto language,1887,,invention,year
vinyl record,1887,,invention,year
Waterhouse - Die Frau von Shallot,1888,1890,art,year
car wheel,1888,,invention,year
incubator,1888,,invention,year
bra,1889,,invention,year
Gaugin - Nafeaffaa Ipolpo,1890,1892,art,year
Moderne,1890,1920,epoch,year
hand iron,1890,,invention,year
zipper,1890,,invention,year
Munch - Der Schrei,1891,1893,art,year
Bouguereau - Der zerbrochene Krug,1891,1893,art,year
Gleitschirm,1891,,invention,year
Bierdeckel,1892,,invention,year
truck,1892,,invention,year
Dieselmotor,1892,,invention,year
electronic hob,1893,,invention,year
Mao,1893,1976,person,year
motorbike,1894,,invention,year
radio,1894,,invention,year
cinema,1895,,invention,year
Kruegertelegramm,1896,1898,event,year
Büroklammer,1899,,invention,year
Quantentheorie,1900,1920,event,year
Monet - Wasserlilien,1904,1906,art,year
Klimt - Der Kuss,1905,1907,art,year
Matisse - Harmony in Red,1906,1908,art,year
Marokkokrise,1907,1911,event,year
Expressionismus,1910,1925,epoch,year
Boccioni - Einzigargite Formen,1913,1915,art,year
First World War,1914,1918,event,year
Sarajevo Attentat,1914,,event,year
Avantgarde,1915,1925,epoch,year
Duchamp - Fountain,1917,1919,art,year
Rusische Revolution,1917,1919,event,year
Deutsche Revolution,1918,1920,event,year
Picasso - Drei Musiker,1919,1921,art,year
Weimarer Republik,1919,1933,epoch,year
Lincoln Memorial,1920,1922,art,year
Kristostatue,1925,1927,art,year
Boris Taschaikowski,1925,1996,person,year
Marilyn Monroe,1926,1962,person,year
Lempicka - Junges Maedchen mit Handschuhen,1927,1929,art,year
Wood - American Goth,1928,1930,art,year
Che Guevara,1928,1957,person,year
Börsencrash,1929,,event,year
Audrey Hepburn,1929,1993,person,year
Christostatue,1931,1931,art,year
Exilliteratur,1933,1945,epoch,year
Spanischer Buergerkrieg,1936,1939,event,year
Reichskristallnacht,1938,,event,year
